coach,team,dimension,top_drivers
Jorge Sampaoli,Argentina,buildup_quality,final_third_entry x229 (+458.0); pass_into_box x56 (+168.0); turnover_own_third x66 (-132.0)
Jorge Sampaoli,Argentina,chance_creation,shot_central_box x23 (+69.0); key_pass x8 (+16.0); assist x3 (+12.0)
Jorge Sampaoli,Argentina,defensive_organisation,interception_own_half x90 (+135.0); shot_conceded_from_box x20 (-70.0); shot_conceded x13 (-26.0)
Jorge Sampaoli,Argentina,pressing_structure,duel_won_opp_third x143 (+214.5); interception_opp_third x25 (+75.0); duel_won_opp_half x68 (+68.0)
Jorge Sampaoli,Argentina,set_pieces,corner_leading_to_shot x5 (+10.0); free_kick_shot x5 (+7.5); corner_taken x24 (+7.2)
Bert van Marwijk,Australia,buildup_quality,final_third_entry x126 (+252.0); turnover_own_third x48 (-96.0); pass_into_box x25 (+75.0)
Bert van Marwijk,Australia,chance_creation,shot_central_box x12 (+36.0); cross_into_box x10 (+10.0); key_pass x3 (+6.0)
Bert van Marwijk,Australia,defensive_organisation,interception_own_half x94 (+141.0); shot_conceded_from_box x14 (-49.0); clearance_from_box x28 (+28.0)
Bert van Marwijk,Australia,pressing_structure,duel_won_opp_third x82 (+123.0); interception_opp_half x19 (+38.0); interception_opp_third x11 (+33.0)
Bert van Marwijk,Australia,set_pieces,corner_leading_to_shot x7 (+14.0); free_kick_cross_in_box x5 (+5.0); corner_taken x14 (+4.2)
Roberto Martínez,Belgium,buildup_quality,final_third_entry x312 (+624.0); pass_into_box x95 (+285.0); turnover_own_third x103 (-206.0)
Roberto Martínez,Belgium,chance_creation,shot_central_box x40 (+120.0); key_pass x26 (+52.0); assist x12 (+48.0)
Roberto Martínez,Belgium,defensive_organisation,interception_own_half x211 (+316.5); shot_conceded_from_box x48 (-168.0); clearance_from_box x92 (+92.0)
Roberto Martínez,Belgium,pressing_structure,duel_won_opp_third x153 (+229.5); duel_won_opp_half x85 (+85.0); interception_opp_third x20 (+60.0)
Roberto Martínez,Belgium,set_pieces,corner_leading_to_shot x11 (+22.0); corner_taken x38 (+11.4); free_kick_shot x5 (+7.5)
Tite,Brazil,buildup_quality,final_third_entry x246 (+492.0); pass_into_box x85 (+255.0); turnover_own_third x60 (-120.0)
Tite,Brazil,chance_creation,shot_central_box x41 (+123.0); key_pass x24 (+48.0); shot_wide_box x16 (+24.0)
Tite,Brazil,defensive_organisation,interception_own_half x158 (+237.0); shot_conceded_from_box x19 (-66.5); clearance_from_box x48 (+48.0)
Tite,Brazil,pressing_structure,duel_won_opp_third x191 (+286.5); duel_won_opp_half x89 (+89.0); interception_opp_third x26 (+78.0)
Tite,Brazil,set_pieces,corner_leading_to_shot x11 (+22.0); corner_taken x42 (+12.6); free_kick_cross_in_box x6 (+6.0)
José Pékerman,Colombia,buildup_quality,final_third_entry x164 (+328.0); turnover_own_third x104 (-208.0); pass_into_box x34 (+102.0)
José Pékerman,Colombia,chance_creation,shot_central_box x15 (+45.0); key_pass x8 (+16.0); cross_into_box x15 (+15.0)
José Pékerman,Colombia,defensive_organisation,interception_own_half x112 (+168.0); shot_conceded_from_box x28 (-98.0); def_duel_won_own_third x44 (+44.0)
José Pékerman,Colombia,pressing_structure,duel_won_opp_third x91 (+136.5); duel_won_opp_half x57 (+57.0); interception_opp_third x14 (+42.0)
José Pékerman,Colombia,set_pieces,set_piece_goal x4 (+20.0); corner_leading_to_shot x7 (+14.0); free_kick_shot x3 (+4.5)
Óscar Ramírez,Costa Rica,buildup_quality,final_third_entry x116 (+232.0); turnover_own_third x64 (-128.0); pass_into_box x25 (+75.0)
