rank,team_id,coach,team,matches,confidence,composite,score_buildup_quality,score_chance_creation,score_set_pieces,score_defensive_organisation,score_pressing_structure
1,6380,Tite,Brazil,5,Medium,90.6,93.8,96.9,78.1,84.4,100.0
2,1598,Fernando Hierro,Spain,4,Medium,78.8,96.9,90.6,96.9,15.6,93.8
3,3148,Joachim Löw,Germany,3,Low,73.8,100.0,100.0,81.2,3.1,84.4
4,15670,Óscar Tabárez,Uruguay,5,Medium,72.5,68.8,56.2,93.8,75.0,68.8
5,2413,Gareth Southgate,England,7,High,71.2,84.4,65.6,100.0,31.2,75.0
6,9598,Zlatko Dalić,Croatia,7,High,70.0,56.2,87.5,62.5,65.6,78.1
7,12274,Jorge Sampaoli,Argentina,4,Medium,67.5,90.6,75.0,68.8,12.5,90.6
8,17322,Mladen Krstajić,Serbia,3,Low,64.1,78.1,84.4,51.6,18.8,87.5
9,4418,Didier Deschamps,France,7,High,61.9,65.6,40.6,43.8,93.8,65.6
10,16216,Hervé Renard,Morocco,3,Low,60.0,34.4,81.2,59.4,43.8,81.2
11,5629,Roberto Martínez,Belgium,7,High,54.4,87.5,93.8,37.5,28.1,25.0
12,8493,Bert van Marwijk,Australia,3,Low,54.1,46.9,12.5,71.9,81.2,57.8
13,13869,Adam Nawałka,Poland,3,Low,53.4,62.5,43.8,75.0,54.7,31.2
14,9905,Fernando Santos,Portugal,4,Medium,52.5,71.9,18.8,90.6,34.4,46.9
15,7047,Janne Andersson,Sweden,5,Medium,50.6,6.2,78.1,56.2,100.0,12.5
16,7712,Åge Hareide,Denmark,4,Medium,50.6,50.0,34.4,18.8,78.1,71.9
17,14358,Stanislav Cherchesov,Russia,5,Medium,50.6,12.5,9.4,65.6,68.8,96.9
18,12430,José Pékerman,Colombia,4,Medium,50.6,28.1,46.9,87.5,50.0,40.6
19,16823,Gernot Rohr,Nigeria,3,Low,50.0,15.6,53.1,21.9,96.9,62.5
20,7839,Heimir Hallgrímsson,Iceland,3,Low,49.4,25.0,62.5,51.6,54.7,53.1
21,6697,Vladimir Petković,Switzerland,4,Medium,49.4,53.1,71.9,84.4,9.4,28.1
22,12913,Akira Nishino,Japan,4,Medium,44.4,59.4,59.4,28.1,37.5,37.5
23,15473,Juan Carlos Osorio,Mexico,4,Medium,43.8,75.0,50.0,25.0,25.0,43.8
24,16521,Juan Antonio Pizzi,Saudi Arabia,3,Low,41.9,81.2,28.1,34.4,46.9,18.8
25,16129,Héctor Cúper,Egypt,3,Low,40.9,31.2,21.9,3.1,90.6,57.8
26,19314,Aliou Cissé,Senegal,3,Low,39.4,40.6,31.2,15.6,59.4,50.0
27,15594,Ricardo Gareca,Peru,3,Low,34.4,43.8,37.5,12.5,62.5,15.6
28,14855,Shin Tae-yong,Korea Republic,3,Low,32.5,18.8,15.6,46.9,71.9,9.4
29,16871,Óscar Ramírez,Costa Rica,3,Low,30.6,21.9,25.0,31.2,40.6,34.4
30,16276,Nabil Maâloul,Tunisia,3,Low,25.0,37.5,68.8,6.2,6.2,6.2
31,10840,Carlos Queiroz,Iran,3,Low,25.0,3.1,3.1,9.4,87.5,21.9
32,17929,Hernán Darío Gómez,Panama,3,Low,16.2,9.4,6.2,40.6,21.9,3.1
