player_id,name,role,confidence,discipline,aggression,risk_appetite,reliability
4814,A. Aguilar,Midfielder,Low,92.8,0.9,83.8,5.6
131602,A. Arroyo,Forward,Low,20.3,44.2,97.1,5.8
28094,A. Badri,Forward,Medium,37.7,5.8,29.0,89.1
61651,A. Behich,Defender,Medium,32.1,45.1,61.7,35.8
238031,A. Beiranvand,Goalkeeper,Medium,54.9,40.2,85.4,9.8
15727,A. Bouhaddouz,Forward,Low,11.6,71.0,6.5,96.4
70156,A. Carrillo,Midfielder,Medium,74.8,80.2,50.5,30.6
135103,A. Christensen,Defender,Medium,73.6,7.8,7.3,89.6
86411,A. Cooper,Midfielder,Medium,17.6,67.6,76.1,62.2
135150,A. Cornelius,Forward,Low,50.0,87.0,72.8,13.4
101590,A. Dzagoev,Midfielder,Low,92.8,86.5,4.5,14.4
101669,A. Dzyuba,Forward,Medium,13.8,94.2,35.5,69.6
20876,A. Ekdal,Midfielder,Medium,77.9,48.2,35.1,36.9
552555,A. El Kaabi,Forward,Low,43.5,12.0,6.5,66.3
101953,A. Erokhin,Midfielder,Low,6.3,96.8,55.4,3.8
37948,A. Finnbogason,Forward,Medium,24.6,56.5,64.5,64.5
86414,A. Godoy,Midfielder,Medium,24.8,32.7,77.9,79.7
257800,A. Golovin,Midfielder,Medium,10.8,81.1,63.7,21.6
21275,A. Granqvist,Defender,High,26.9,12.4,67.4,45.6
3682,A. Griezmann,Forward,High,60.1,18.8,34.1,63.0
3384,A. Guardado,Midfielder,Medium,61.3,33.3,30.2,70.7
216568,A. Gudmundsson,Forward,Low,90.9,92.0,100.0,1.4
77521,A. Gunnarsson,Midfielder,Medium,82.4,14.9,87.8,38.3
396475,A. Hakimi,Defender,Medium,41.2,45.1,62.2,18.1
372915,A. Harit,Midfielder,Low,61.7,87.8,17.6,20.3
230020,A. Iwobi,Midfielder,Low,51.8,14.4,98.6,43.2
99381,A. J\u0119drzejczyk,Defender,Low,19.4,86.8,74.1,33.7
79381,A. Jahanbakhsh,Forward,Low,15.9,31.2,73.9,17.4
261127,A. Januzaj,Midfielder,Low,66.0,79.3,43.7,3.2
293128,A. Khalil,Midfielder,Low,0.5,97.7,1.6,98.6
8306,A. Kolarov,Defender,Medium,19.4,33.2,82.1,21.2
69411,A. Kramari\u0107,Forward,Medium,78.3,7.2,60.1,73.2
20941,A. Ljaji\u0107,Forward,Low,65.9,9.4,41.3,71.0
120839,A. Ma\u00e2loul,Defender,Medium,75.9,2.6,63.0,10.4
125848,A. Machado,Defender,Low,92.5,30.8,78.5,8.8
120898,A. Mathlouthi,Goalkeeper,Low,54.9,89.0,9.8,84.1
99452,A. Milik,Forward,Low,90.9,8.7,6.5,11.6
128214,A. Mitrovi\u0107,Forward,Medium,19.6,78.3,50.0,18.5
62389,A. Mooy,Midfielder,Medium,54.1,11.7,48.2,64.9
101606,A. Musa,Forward,Medium,36.6,54.7,67.4,33.3
32793,A. N'Diaye,Midfielder,Low,60.4,6.8,38.7,46.8
238055,A. Nabbout,Forward,Low,76.1,13.8,82.6,92.0
14748,A. R\u00fcdiger,Defender,Low,19.4,57.5,20.7,86.5
69616,A. Rebi\u0107,Forward,High,13.0,82.6,94.2,8.7
70144,A. Rodr\u00edguez,Defender,Low,72.0,32.1,22.8,96.6
15214,A. Rukavina,Defender,Low,25.1,22.8,93.3,74.6
101699,A. Samedov,Midfielder,Medium,43.2,47.7,63.1,47.3
115353,A. Santamar\u00eda,Defender,Low,92.5,61.7,7.8,95.9
265368,A. Shehu,Defender,Low,55.2,13.7,12.4,91.2
51127,A. Sk\u00falason,Defender,Low,92.5,100.0,27.2,99.5
91502,A. Uribe,Midfielder,Low,60.4,76.1,52.7,68.0
70123,A. Witsel,Midfielder,High,41.9,25.7,34.2,93.7
7939,A. Young,Defender,High,66.8,21.2,70.5,37.8
140085,A. \u017divkovi\u0107,Midfielder,Low,92.8,53.6,99.5,22.5
120167,Abdallah Said,Midfielder,Medium,92.8,42.3,78.4,29.3
122561,Abdullah Al Mayouf,Goalkeeper,Low,54.9,58.5,56.1,89.0
139393,Abdullah Otayf,Midfielder,Medium,63.7,22.5,62.2,84.7
70403,Adrien Silva,Midfielder,Low,46.4,49.1,59.2,91.4
120156,Ahmed Fathy,Defender,Medium,11.1,98.4,90.2,34.7
119951,Ahmed Hegazy,Defender,Medium,55.2,48.4,32.1,24.4
262048,Al. Miranchuk,Midfielder,Low,50.5,38.7,37.8,1.8
398219,Ali Al Bulayhi,Defender,Low,92.5,10.4,89.1,5.7
198120,Ali Gabr,Defender,Medium,55.2,4.1,4.7,72.0
214220,Alisson,Goalkeeper,High,54.9,19.5,53.7,100.0
388928,Amr Warda,Midfielder,Low,78.4,54.1,75.5,5.6
135927,Andr\u00e9 Silva,Forward,Low,74.6,27.5,16.3,86.2
99833,B. Bereszy\u0144ski,Defender,Low,13.5,86.0,49.7,56.5
38084,B. Bjarnason,Midfielder,Medium,44.6,40.5,78.8,15.3
21169,B. D\u017eemaili,Midfielder,Medium,21.6,65.3,68.9,51.4
282772,B. Embolo,Forward,Low,38.4,88.4,52.9,42.4
209792,B. Idowu,Defender,Medium,35.0,79.8,68.4,25.4
7891,B. Ivanovi\u0107,Defender,Medium,55.2,78.2,96.9,22.3
256480,B. Keita,Forward,Low,63.8,60.1,43.8,96.4
25437,B. Matuidi,Midfielder,Medium,12.2,78.8,64.4,52.7
26136,B. Mendy,Defender,Low,92.5,9.3,98.4,15.5
207164,B. N'Diaye,Midfielder,Low,62.8,4.1,30.9,10.1
55982,B. Oviedo,Defender,Medium,19.4,81.3,69.4,18.7
113517,B. P\u00e9rez,Forward,Low,79.0,23.2,70.3,36.2
340646,B. Pavard,Defender,High,32.1,48.4,37.0,33.2
11155,B. Ruiz,Midfielder,Medium,67.6,55.4,71.6,27.0
54451,B. S\u00e6varsson,Defender,Medium,70.2,17.1,97.9,19.7
54495,B. Sigur\u00f0arson,Forward,Low,33.3,81.9,98.6,52.9
408827,B. Srarfi,Midfielder,Low,92.8,100.0,100.0,98.6
265673,Bernardo Silva,Midfielder,Medium,72.5,77.0,22.5,35.6
243588,Bruno Fernandes,Midfielder,Low,34.7,37.2,80.9,13.3
37831,C. Bacca,Forward,Low,9.4,93.5,80.4,75.4
55988,C. Bola\u00f1os,Midfielder,Low,92.8,28.4,73.2,32.2
51004,C. Borges,Midfielder,Medium,76.6,9.0,55.9,54.7
114813,C. Cueva,Midfielder,Medium,92.8,26.1,27.3,36.5
54,C. Eriksen,Midfielder,Medium,84.9,19.4,49.5,33.6
55977,C. Gamboa,Defender,Medium,14.0,92.7,94.3,19.2
37725,C. Kouyat\u00e9,Midfielder,Low,72.1,41.0,19.6,63.7
27412,C. N'Doye,Midfielder,Low,7.7,94.1,99.1,10.1
285396,C. Pav\u00f3n,Forward,Low,76.8,20.7,37.7,24.6
114617,C. Ramos,Defender,Medium,92.5,28.5,71.0,55.2
70095,C. Rodr\u00edguez,Midfielder,Low,45.7,63.1,59.2,10.8
26518,C. S\u00e1nchez,Midfielder,Medium,11.7,8.1,22.1,84.2
86340,C. S\u00e1nchez,Midfielder,Low,73.4,25.2,73.2,12.6
255387,C. Salcedo,Defender,Medium,37.3,34.5,39.4,78.2
3714,C. Stuani,Forward,Low,4.3,94.9,43.8,5.8
209091,C. Tolisso,Midfielder,Medium,40.5,38.3,63.7,39.6
3685,C. Vela,Forward,Medium,71.4,34.1,68.5,73.9
70389,C\u00e9dric Soares,Defender,Medium,9.6,89.1,92.7,11.9
40756,Casemiro,Midfielder,Medium,45.7,60.4,54.1,70.3
107413,Chul Hong,Defender,Low,25.1,70.5,57.0,3.1
3322,Cristiano Ronaldo,Forward,Medium,52.5,35.5,66.7,83.3
13484,D. Alli,Midfielder,Medium,73.0,21.6,65.3,22.1
403613,D. Arzani,Midfielder,Low,17.6,96.4,33.6,29.3
8034,D. Boyata,Defender,Medium,41.2,15.8,1.0,95.3
295747,D. Bronn,Defender,Low,66.3,37.8,54.9,29.3
4513,D. Cheryshev,Midfielder,Medium,30.0,57.2,73.9,2.7
125273,D. Colindres,Forward,Low,23.9,72.5,76.1,7.2
3433,D. God\u00edn,Defender,High,55.2,67.4,26.4,65.5
125260,D. Guzm\u00e1n,Midfielder,Medium,20.7,43.7,66.7,44.6
240042,D. Kownacki,Forward,Low,28.6,83.3,57.6,8.0
220971,D. Kuzyaev,Midfielder,Medium,39.6,60.8,9.5,59.9
116269,D. Laxalt,Midfielder,Medium,59.5,43.2,80.9,16.2
25393,D. Lovren,Defender,High,44.0,53.4,34.2,59.1
122,D. Mertens,Forward,Medium,62.3,1.4,63.0,51.1
25662,D. Ospina,Goalkeeper,Medium,54.9,58.5,50.0,41.5
8292,D. Rose,Defender,Medium,77.7,87.6,75.6,23.8
257762,D. S\u00e1nchez,Defender,Medium,75.9,76.2,25.4,49.2
26610,D. Sakho,Forward,Low,90.9,84.4,99.3,3.3
26196,D. Sidib\u00e9,Defender,Low,55.2,48.4,73.1,41.7
135747,D. Suba\u0161i\u0107,Goalkeeper,High,54.9,48.8,39.0,68.3
383,D. Tadi\u0107,Midfielder,Medium,67.6,82.4,60.8,34.7
127530,D. To\u0161i\u0107,Defender,Low,35.8,65.3,76.2,63.7
69396,D. Vida,Defender,High,72.5,51.8,9.3,57.0
7945,D. Welbeck,Forward,Low,90.9,0.7,6.5,5.8
360992,D. Zakaria,Midfielder,Low,3.6,81.5,5.9,89.0
230626,D. \u0106aleta-Car,Defender,Low,92.5,4.7,11.1,82.4
4501,Daniel Carvajal,Defender,Medium,63.7,88.1,20.2,66.8
70083,Danilo,Defender,Low,92.5,6.0,22.8,67.9
8317,David Silva,Midfielder,Medium,70.7,3.2,32.4,66.7
7910,David de Gea,Goalkeeper,Medium,54.9,34.1,2.4,92.7
4338,Diego Costa,Forward,Medium,72.5,14.5,23.2,87.3
105334,Douglas Costa,Midfielder,Low,92.8,91.0,70.5,59.0
21174,E. Cavani,Forward,Medium,66.7,29.0,60.9,76.1
116364,E. Davis,Defender,Medium,6.2,24.9,79.8,39.9
210044,E. Dier,Midfielder,Medium,34.2,44.6,52.3,89.6
51132,E. Forsberg,Midfielder,Medium,77.5,23.0,57.9,31.1
79248,E. Hajsafi,Defender,Medium,64.8,15.0,83.9,13.0
21314,E. Hallfre\u00f0sson,Midfielder,Medium,37.6,56.3,80.2,45.3
25707,E. Hazard,Forward,High,61.6,58.0,79.0,81.2
37896,E. Kawashima,Goalkeeper,Medium,4.9,34.1,58.5,84.1
51064,E. Krafth,Defender,Low,92.5,8.8,94.8,5.2
86234,E. P\u00e9rez,Midfielder,Medium,30.0,15.8,44.6,95.0
3445,E. Salvio,Midfielder,Low,92.8,65.8,16.7,45.3
246946,E. Skhiri,Midfielder,Medium,37.6,50.5,13.1,71.6
448210,E. \u00c1lvarez,Defender,Medium,30.6,96.9,58.0,62.2
120269,Essam El Hadary,Goalkeeper,Low,54.9,9.8,68.3,29.3
90991,F. Armani,Goalkeeper,Medium,54.9,34.1,19.5,19.5
112679,F. Baloy,Defender,Low,92.5,3.6,0.5,99.5
120784,F. Ben Mustapha,Goalkeeper,Low,54.9,97.6,24.4,58.5
209354,F. Ben Youssef,Forward,Medium,68.5,4.3,53.6,48.6
231713,F. Bradari\u0107,Midfielder,Low,92.8,0.5,8.8,98.6
125512,F. Calvo,Defender,Low,29.5,96.4,33.7,21.8
8464,F. Delph,Midfielder,Medium,81.1,37.2,71.2,58.6
273683,F. Escobar,Defender,Medium,11.1,15.8,60.4,58.5
25888,F. Fajr,Midfielder,Low,2.7,90.5,33.6,17.6
3463,F. Fazio,Defender,Low,92.5,81.3,3.1,15.0
127796,F. Kosti\u0107,Midfielder,Low,32.4,74.3,92.8,6.8
101647,F. Kudryashov,Defender,Medium,12.4,43.5,45.6,51.3
32641,F. Muslera,Goalkeeper,High,54.9,70.7,41.5,78.0
120853,F. Sassi,Midfielder,Medium,12.6,50.9,62.6,50.9
50102,F. Sch\u00e4r,Defender,Medium,19.4,60.6,38.3,47.2
101707,F. Smolov,Forward,Low,23.2,89.9,25.4,61.6
25770,F. Thauvin,Forward,Low,90.9,97.1,6.5,96.4
285491,F. Uzoho,Goalkeeper,Medium,54.9,25.6,70.7,14.6
40707,F\u00e1gner,Defender,Medium,19.4,64.0,56.0,63.2
122623,Fahad Al Muwallad,Forward,Medium,41.3,24.6,36.2,27.5
105339,Fernandinho,Midfielder,Low,19.4,59.9,28.4,83.3
3434,Filipe Luis,Defender,Low,47.7,52.3,30.1,55.2
7887,G. Cahill,Defender,Low,55.2,13.7,6.2,97.9
354043,G. Chaalali,Midfielder,Low,6.3,90.1,60.8,36.0
213364,G. De Arrascaeta,Midfielder,Low,66.0,54.5,26.1,57.7
59083,G. G\u00f3mez,Midfielder,Medium,32.4,5.0,17.1,90.5
125286,G. Gonz\u00e1lez,Defender,Medium,81.6,33.2,29.3,81.3
94650,G. Haraguchi,Midfielder,Medium,64.4,58.6,14.0,50.0
3323,G. Higua\u00edn,Forward,Low,54.7,26.1,56.5,81.9
25537,G. Krychowiak,Midfielder,Medium,54.1,45.3,85.1,56.8
86220,G. Mercado,Defender,Medium,6.2,75.1,16.1,59.6
25816,G. Ochoa,Goalkeeper,Medium,7.3,73.2,36.6,48.8
14749,G. Sakai,Defender,Low,92.5,67.4,90.7,62.2
94814,G. Sh\u014dji,Defender,Medium,92.5,36.0,53.9,89.1
94828,G. Shibasaki,Midfielder,Medium,27.9,24.3,86.9,60.4
77558,G. Sigur\u00f0sson,Midfielder,Medium,76.6,67.6,95.9,19.4
32798,G. Svensson,Midfielder,Low,75.7,6.3,19.6,95.9
116997,G. Torres,Forward,Low,60.9,32.6,43.8,78.6
116166,G. Varela,Defender,Medium,92.5,24.9,75.1,88.6
49876,G. Xhaka,Midfielder,Medium,57.7,10.8,50.0,87.8
8297,G. dos Santos,Forward,Low,90.9,46.0,6.5,45.3
340386,Gabriel Jesus,Forward,Medium,58.0,40.6,55.8,62.3
227059,Gelson Martins,Forward,Low,90.9,76.1,6.5,88.4
237034,Gon\u00e7alo Guedes,Forward,Medium,64.5,33.3,23.2,87.3
112777,H. Ayala,Defender,Medium,92.5,24.9,14.5,64.5
116293,H. Cummings,Defender,Low,92.5,71.2,64.8,6.5
56394,H. Dalsgaard,Defender,Medium,19.4,85.2,79.3,17.1
57226,H. Halld\u00f3rsson,Goalkeeper,Medium,54.9,78.0,87.8,31.7
112459,H. Herrera,Midfielder,Medium,8.1,86.0,88.7,48.2
8717,H. Kane,Forward,High,75.4,34.8,91.7,68.8
25381,H. Lloris,Goalkeeper,High,54.9,25.6,63.4,63.4
295156,H. Lozano,Forward,Medium,39.1,51.4,38.4,72.5
135207,H. Magn\u00fasson,Defender,Medium,41.2,80.3,86.5,2.1
8653,H. Maguire,Defender,High,33.7,66.3,34.7,83.9
3795,H. Moreno,Defender,Medium,9.6,39.1,63.7,58.0
293080,H. Nagguez,Defender,Low,29.0,81.3,72.5,23.3
94695,H. Sakai,Defender,Medium,84.2,69.2,85.0,26.9
20766,H. Seferovi\u0107,Forward,Low,42.8,18.1,74.6,15.9
95010,H. Yamaguchi,Midfielder,Low,45.0,23.4,14.4,91.0
