player_id,name,role,dimension,top_drivers
4814,A. Aguilar,Midfielder,progression,final_third_entry x1 (+3.0); forward_pass_small x7 (+1.1); failed_progressive x2 (-0.8)
4814,A. Aguilar,Midfielder,recovery,def_duel_lost x1 (-0.5)
4814,A. Aguilar,Midfielder,retention,lost_ball x4 (-4.0); accurate_pass x8 (+0.8)
131602,A. Arroyo,Forward,progression,failed_progressive x1 (-0.4)
131602,A. Arroyo,Forward,recovery,def_duel_won x1 (+2.0)
131602,A. Arroyo,Forward,retention,lost_ball x1 (-1.0); att_duel_lost x1 (-0.5); accurate_pass x1 (+0.1)
28094,A. Badri,Forward,chance_creation,pass_into_box x2 (+3.0)
28094,A. Badri,Forward,defensive_disruption,clearance x2 (+3.0)
28094,A. Badri,Forward,finishing,shot_on_target x2 (+4.0)
28094,A. Badri,Forward,progression,final_third_entry x6 (+18.0); pass_into_box x2 (+8.0); forward_pass_small x32 (+4.8)
28094,A. Badri,Forward,recovery,interception x9 (+27.0); def_duel_won x2 (+4.0); def_duel_lost x5 (-2.5)
28094,A. Badri,Forward,retention,lost_ball x9 (-9.0); accurate_pass x74 (+7.4); att_duel_lost x6 (-3.0)
28094,A. Badri,Forward,transition,counter_action x2 (+4.0)
61651,A. Behich,Defender,chance_creation,pass_into_box x4 (+6.0); accurate_cross x3 (+3.0)
61651,A. Behich,Defender,defensive_disruption,clearance x2 (+3.0)
61651,A. Behich,Defender,finishing,shot_off_target x1 (-0.3); shot_blocked x1 (+0.0)
61651,A. Behich,Defender,goal_protection,own_box_clearance x2 (+2.0)
61651,A. Behich,Defender,progression,final_third_entry x9 (+27.0); pass_into_box x4 (+16.0); forward_carry x5 (+7.5)
61651,A. Behich,Defender,recovery,interception x11 (+33.0); def_duel_won x4 (+8.0); def_duel_lost x9 (-4.5)
61651,A. Behich,Defender,retention,lost_ball x29 (-29.0); accurate_pass x133 (+13.3); att_duel_lost x7 (-3.5)
61651,A. Behich,Defender,transition,counter_action x2 (+4.0)
238031,A. Beiranvand,Goalkeeper,goal_protection,reflex_save x5 (+25.0); save x5 (+20.0)
238031,A. Beiranvand,Goalkeeper,progression,final_third_entry x3 (+9.0); forward_pass_small x16 (+2.4); failed_progressive x5 (-2.0)
238031,A. Beiranvand,Goalkeeper,retention,lost_ball x7 (-7.0); accurate_pass x18 (+1.8)
238031,A. Beiranvand,Goalkeeper,transition,keeper_launch x6 (+9.0)
15727,A. Bouhaddouz,Forward,defensive_disruption,clearance x1 (+1.5)
