rank,player_id,name,role,minutes,confidence,composite,score_recovery,score_retention,score_progression,score_chance_creation,score_finishing,score_defensive_disruption,score_goal_protection,score_transition
1,3802,Philippe Coutinho,Forward,436.0,Medium,97.6,31.9,100.0,100.0,97.8,92.8,8.7,2.9,74.6
2,703,M. Yoshida,Defender,360.0,Medium,89.2,97.2,78.2,85.0,25.9,2.6,96.6,95.3,4.9
3,255387,C. Salcedo,Defender,360.0,Medium,87.8,97.2,87.0,69.4,31.1,8.0,97.4,97.2,53.6
4,21174,E. Cavani,Forward,347.0,Medium,87.7,10.9,97.1,84.8,70.3,98.6,30.4,58.7,61.6
5,122561,Abdullah Al Mayouf,Goalkeeper,90.0,Low,86.2,92.7,76.8,73.2,84.1,51.2,42.7,84.1,97.6
6,25707,E. Hazard,Forward,518.0,High,86.1,29.0,68.8,98.6,95.7,81.2,3.6,0.7,100.0
7,3359,L. Messi,Forward,360.0,Medium,86.1,13.8,68.1,99.3,97.1,79.7,1.4,3.6,96.4
8,14911,Son Heung-Min,Forward,270.0,Medium,84.1,66.7,95.7,87.7,62.3,90.6,73.2,83.7,84.8
9,231138,P. Kimpembe,Defender,90.0,Low,83.5,82.1,79.3,91.2,44.8,61.1,81.3,71.8,45.9
10,69404,M. Kova\u010di\u0107,Midfielder,126.0,Low,81.9,70.3,91.0,85.6,77.5,75.7,95.9,70.7,85.1
11,139393,Abdullah Otayf,Midfielder,244.0,Medium,80.5,86.0,92.3,98.2,64.0,19.8,57.2,74.1,62.2
12,40810,Neymar,Forward,450.0,High,80.4,1.4,26.1,97.8,98.6,99.3,8.0,2.2,98.6
13,8717,H. Kane,Forward,543.0,High,80.3,26.8,94.2,93.5,51.4,81.9,2.2,8.0,2.9
14,122847,Salman Al Faraj,Midfielder,270.0,Medium,79.9,73.4,51.8,95.5,91.7,15.3,48.2,80.2,86.9
15,149074,N. Dirar,Midfielder,180.0,Medium,79.5,93.2,83.3,45.9,86.5,22.5,70.3,86.5,88.3
16,36,T. Alderweireld,Defender,540.0,High,79.4,70.5,94.3,96.9,52.3,20.7,56.0,83.9,87.0
17,122,D. Mertens,Forward,298.0,Medium,79.2,22.5,42.0,96.4,100.0,78.3,5.1,6.5,85.5
18,69400,M. Badelj,Midfielder,91.0,Low,78.9,96.4,47.7,79.3,90.1,97.3,89.6,27.5,81.1
19,37896,E. Kawashima,Goalkeeper,360.0,Medium,78.9,19.5,90.2,70.7,28.0,51.2,8.5,70.7,75.6
20,70403,Adrien Silva,Midfielder,166.0,Low,78.8,94.1,95.0,95.0,37.4,26.4,47.3,17.8,72.5
21,240032,J. Bednarek,Defender,224.0,Medium,78.8,80.8,73.6,93.3,23.3,95.9,67.4,80.8,70.5
22,9380,J. Stones,Defender,616.0,High,78.6,87.0,99.5,74.6,0.5,97.9,53.4,75.6,55.4
23,3355,J. Mascherano,Defender,360.0,Medium,78.4,52.3,86.0,99.0,71.5,71.2,76.2,9.1,94.8
24,112459,H. Herrera,Midfielder,360.0,Medium,77.6,78.8,52.3,91.4,69.4,66.7,51.8,21.8,96.2
25,8480,K. Schmeichel,Goalkeeper,360.0,Medium,77.2,17.1,39.0,100.0,100.0,51.2,57.3,92.7,100.0
26,7936,P. Pogba,Midfielder,539.0,High,77.2,65.3,26.6,99.1,96.8,76.6,42.3,72.1,98.2
27,70093,Jo\u00e3o Moutinho,Midfielder,185.0,Medium,77.1,73.0,92.8,56.8,82.4,28.4,23.0,52.7,80.6
28,105339,Fernandinho,Midfielder,154.0,Low,76.9,97.3,80.6,75.2,41.0,27.5,33.3,62.6,90.5
